"types"	"counts"
"728"	"APH1A"	4
"729"	"API5"	3
"730"	"APITD1-CORT"	3
"731"	"APLF"	5
"732"	"APLNR"	2
"733"	"APLP1"	8
"734"	"APLP2"	4
"735"	"APMAP"	3
"736"	"APOA1BP"	1
"737"	"APOA4"	2
"738"	"APOA5"	2
"739"	"APOB"	47
"740"	"APOBEC1"	1
"741"	"APOBEC3B"	4
"742"	"APOBEC3C"	1
"743"	"APOBEC3D"	2
"744"	"APOBEC3F"	1
"745"	"APOBEC3G"	1
"746"	"APOBEC3H"	1
"747"	"APOBR"	3
"748"	"APOC1"	1
"749"	"APOD"	1
"750"	"APOH"	2
"751"	"APOL1"	3
"752"	"APOL2"	2
"753"	"APOL3"	2
"754"	"APOL4"	2
"755"	"APOL5"	3
"756"	"APOL6"	2
"757"	"APOM"	1
"758"	"APOO"	2
"759"	"APP"	7
"760"	"APPBP2"	2
"761"	"APPL2"	6
"762"	"APTX"	1
"763"	"AQP1"	1
"764"	"AQP10"	2
"765"	"AQP11"	2
"766"	"AQP3"	1
"767"	"AQP4"	2
"768"	"AQP6"	5
"769"	"AQP8"	2
"770"	"AQP9"	4
"771"	"AQR"	6
"772"	"AR"	4
"773"	"ARAF"	2
"774"	"ARAP1"	4
"775"	"ARAP2"	7
"776"	"ARAP3"	8
"777"	"ARC"	1
"778"	"ARCN1"	3
"779"	"AREG"	2
"780"	"AREL1"	4
"781"	"ARF1"	1
"782"	"ARF4"	1
"783"	"ARF6"	3
"784"	"ARFGAP1"	3
"785"	"ARFGAP2"	2
"786"	"ARFGAP3"	3
"787"	"ARFGEF1"	15
"788"	"ARFGEF2"	11
"789"	"ARFGEF3"	8
"790"	"ARFIP1"	1
"791"	"ARFRP1"	1
"792"	"ARG1"	1
"793"	"ARG2"	1
"794"	"ARGFX"	4
"795"	"ARGLU1"	1
"796"	"ARHGAP1"	4
"797"	"ARHGAP10"	4
"798"	"ARHGAP11A"	5
"799"	"ARHGAP12"	5
"800"	"ARHGAP15"	8
"801"	"ARHGAP17"	11
"802"	"ARHGAP18"	3
"803"	"ARHGAP19"	2
"804"	"ARHGAP20"	7
"805"	"ARHGAP21"	9
"806"	"ARHGAP22"	4
"807"	"ARHGAP24"	3
"808"	"ARHGAP25"	3
"809"	"ARHGAP26"	6
"810"	"ARHGAP27"	7
"811"	"ARHGAP28"	5
"812"	"ARHGAP29"	10
"813"	"ARHGAP30"	7
"814"	"ARHGAP31"	12
"815"	"ARHGAP32"	10
"816"	"ARHGAP33"	6
"817"	"ARHGAP35"	12
"818"	"ARHGAP36"	11
"819"	"ARHGAP39"	8
"820"	"ARHGAP4"	8
"821"	"ARHGAP44"	4
"822"	"ARHGAP5"	10
"823"	"ARHGAP6"	7
"824"	"ARHGAP9"	3
"825"	"ARHGDIA"	2
"826"	"ARHGDIB"	1
"827"	"ARHGEF1"	8
"828"	"ARHGEF10"	3
"829"	"ARHGEF10L"	6
"830"	"ARHGEF11"	4
"831"	"ARHGEF12"	8
"832"	"ARHGEF15"	4
"833"	"ARHGEF16"	2
