"types"	"counts"
"752"	"APBA2"	2
"753"	"APBA3"	4
"754"	"APBB1"	1
"755"	"APBB1IP"	3
"756"	"APBB2"	1
"757"	"APBB3"	1
"758"	"APC"	3
"759"	"APC2"	3
"760"	"APCDD1"	6
"761"	"APCDD1L"	1
"762"	"APCS"	6
"763"	"APEH"	2
"764"	"APEX1"	5
"765"	"APEX2"	14
"766"	"APH1A"	9
"767"	"API5"	7
"768"	"APIP"	9
"769"	"APITD1"	1
"770"	"APITD1-CORT"	1
"771"	"APLF"	2
"772"	"APLN"	6
"773"	"APLNR"	4
"774"	"APLP1"	2
"775"	"APLP2"	5
"776"	"APMAP"	4
"777"	"APOA1"	5
"778"	"APOA1BP"	5
"779"	"APOA2"	6
"780"	"APOA4"	5
"781"	"APOA5"	5
"782"	"APOB"	2
"783"	"APOBEC1"	6
"784"	"APOBEC2"	5
"785"	"APOBEC4"	5
"786"	"APOBR"	3
"787"	"APOC1"	2
"788"	"APOC1P1"	2
"789"	"APOC2"	2
"790"	"APOC3"	5
"791"	"APOC4"	2
"792"	"APOC4-APOC2"	2
"793"	"APOD"	51
"794"	"APOE"	2
"795"	"APOF"	3
"796"	"APOH"	2
"797"	"APOL1"	1
"798"	"APOL2"	1
"799"	"APOL3"	2
"800"	"APOL4"	1
"801"	"APOL5"	1
"802"	"APOL6"	1
"803"	"APOLD1"	4
"804"	"APOM"	5
"805"	"APOO"	14
"806"	"APOOL"	2
"807"	"APOPT1"	6
"808"	"APPBP2"	1
"809"	"APPL1"	2
"810"	"APRT"	4
"811"	"APTX"	11
"812"	"AQP1"	5
"813"	"AQP10"	5
"814"	"AQP11"	17
"815"	"AQP12A"	7
"816"	"AQP12B"	7
"817"	"AQP2"	1
"818"	"AQP3"	10
"819"	"AQP4"	7
"820"	"AQP5"	1
"821"	"AQP6"	1
"822"	"AQP7"	10
"823"	"AQP7P1"	6
"824"	"AQP7P3"	6
"825"	"AQP8"	2
"826"	"AQPEP"	2
"827"	"AQR"	1
"828"	"AR"	4
"829"	"ARAF"	14
"830"	"ARAP1"	19
"831"	"ARAP2"	1
"832"	"ARAP3"	1
"833"	"ARC"	33
