"types"	"counts"
"612"	"BCAR3"	2
"613"	"BCAS1"	1
"614"	"BCAS3"	1
"615"	"BCKDHA"	1
"616"	"BCL11A"	2
"617"	"BCL11B"	2
"618"	"BCL2A1"	1
"619"	"BCL2L11"	1
"620"	"BCL2L14"	1
"621"	"BCL9"	3
"622"	"BCL9L"	1
"623"	"BCO1"	2
"624"	"BCOR"	2
"625"	"BCORL1"	3
"626"	"BCS1L"	1
"627"	"BDNF"	2
"628"	"BECN1"	1
"629"	"BEND5"	1
"630"	"BEND7"	1
"631"	"BEST3"	2
"632"	"BET1"	1
"633"	"BEX5"	1
"634"	"BFSP1"	1
"635"	"BHLHB9"	2
"636"	"BHLHE22"	1
"637"	"BHLHE40"	1
"638"	"BHMT2"	1
"639"	"BICC1"	4
"640"	"BICD1"	4
"641"	"BID"	1
"642"	"BIN1"	1
"643"	"BIRC6"	8
"644"	"BLK"	1
"645"	"BLM"	1
"646"	"BLMH"	1
"647"	"BLNK"	1
"648"	"BLOC1S6"	1
"649"	"BMI1"	1
"650"	"BMP10"	1
"651"	"BMP2"	1
"652"	"BMP4"	1
"653"	"BMP7"	1
"654"	"BMP8B"	1
"655"	"BMPER"	1
"656"	"BMPR1B"	1
"657"	"BMPR2"	1
"658"	"BMS1"	3
"659"	"BNC1"	1
"660"	"BNC2"	1
"661"	"BOC"	1
"662"	"BOD1L1"	3
"663"	"BOD1L2"	1
"664"	"BOP1"	1
"665"	"BPI"	1
"666"	"BPIFA1"	1
"667"	"BPIFA3"	1
"668"	"BPIFB1"	1
"669"	"BPIFB2"	2
"670"	"BPIFB6"	1
"671"	"BPNT1"	1
"672"	"BPTF"	2
"673"	"BRCA1"	2
"674"	"BRCA2"	2
"675"	"BRD1"	1
"676"	"BRD3"	1
"677"	"BRD4"	2
"678"	"BRD8"	2
"679"	"BRD9"	1
"680"	"BRDT"	1
"681"	"BRE"	1
"682"	"BRF1"	1
"683"	"BRI3"	1
"684"	"BRINP1"	2
"685"	"BRINP2"	2
"686"	"BRINP3"	2
"687"	"BRIP1"	1
"688"	"BRPF1"	1
"689"	"BRPF3"	1
"690"	"BRSK1"	2
"691"	"BRWD1"	1
"692"	"BRWD3"	8
"693"	"BSN"	4
"694"	"BSPRY"	2
"695"	"BST1"	1
"696"	"BSX"	4
"697"	"BTAF1"	4
"698"	"BTBD1"	1
"699"	"BTBD11"	1
"700"	"BTBD2"	1
"701"	"BTBD3"	1
"702"	"BTBD9"	1
"703"	"BTG2"	2
"704"	"BTG3"	1
"705"	"BTN1A1"	2
"706"	"BTN3A3"	3
"707"	"BTNL3"	1
"708"	"BTNL8"	2
"709"	"BVES"	1
"710"	"BYSL"	1
"711"	"BZRAP1"	2
"712"	"C10ORF113"	1
"713"	"C10ORF12"	2
"714"	"C10ORF120"	1
"715"	"C10ORF71"	2
"716"	"C11ORF30"	1
"717"	"C11ORF53"	1
"718"	"C11ORF68"	1
"719"	"C11ORF74"	1
"720"	"C12ORF4"	2
"721"	"C12ORF42"	2
"722"	"C12ORF66"	1
"723"	"C12ORF74"	1
"724"	"C14ORF105"	1
"725"	"C14ORF169"	1
"726"	"C14ORF37"	1
"727"	"C16ORF59"	1
"728"	"C16ORF62"	1
"729"	"C16ORF70"	1
"730"	"C16ORF71"	2
"731"	"C16ORF72"	1
"732"	"C16ORF78"	1
"733"	"C16ORF89"	1
"734"	"C17ORF104"	1
"735"	"C17ORF53"	1
"736"	"C17ORF67"	1
"737"	"C17ORF74"	2
"738"	"C18ORF8"	1
"739"	"C19ORF18"	1
"740"	"C19ORF40"	1
"741"	"C19ORF47"	1
"742"	"C1GALT1"	1
"743"	"C1ORF101"	1
"744"	"C1ORF110"	1
"745"	"C1ORF123"	1
"746"	"C1ORF159"	1
"747"	"C1ORF177"	1
"748"	"C1ORF198"	1
"749"	"C1ORF27"	1
"750"	"C1ORF35"	1
"751"	"C1ORF64"	1
"752"	"C1ORF87"	2
"753"	"C1ORF94"	1
"754"	"C1QTNF6"	1
"755"	"C20ORF194"	2
"756"	"C20ORF27"	1
"757"	"C22ORF15"	1
"758"	"C22ORF29"	1
"759"	"C22ORF31"	1
"760"	"C22ORF39"	1
"761"	"C22ORF42"	1
